ACO
ACP
ADP
AMP
ANP
ATP
H4B
CAA
CAO
CDP
CMP
COA
CTP
FAD
FMN
GDP
GMP
GNP
GTP
MCA
NAD
NAI
NAP
NDO
NDP
SCA
TPP
UMP
